# kx,ky
-1.950149075756412742e+01,0.000000000000000000e+00
-1.930647584998848743e+01,1.125919093847871366e-01
-1.911146094241284388e+01,2.251838187695733851e-01
-1.891644603483720388e+01,3.377757281543596335e-01
-1.872143112726156033e+01,4.503676375391458819e-01
-1.852641621968592034e+01,5.629595469239321304e-01
-1.833140131211028034e+01,6.755514563087192670e-01
-1.813638640453464035e+01,7.881433656935055154e-01
-1.794137149695899680e+01,9.007352750782917639e-01
-1.774635658938335681e+01,1.013327184463078012e+00
-1.755134168180771326e+01,1.125919093847864261e+00
-1.735632677423207326e+01,1.238511003232651397e+00
-1.716131186665643327e+01,1.351102912617437646e+00
-1.696629695908078972e+01,1.463694822002224782e+00
-1.677128205150514972e+01,1.576286731387011031e+00
-1.657626714392950618e+01,1.688878640771797723e+00
-1.638125223635386618e+01,1.801470550156583528e+00
-1.618623732877822619e+01,1.914062459541370220e+00
-1.599122242120258441e+01,2.026654368926156469e+00
-1.579620751362694264e+01,2.139246278310943161e+00
-1.560119260605130087e+01,2.251838187695729854e+00
-1.540617769847565910e+01,2.364430097080516546e+00
-1.521116279090001910e+01,2.477022006465302351e+00
-1.501614788332437911e+01,2.589613915850089043e+00
-1.482113297574873556e+01,2.702205825234875292e+00
-1.462611806817309557e+01,2.814797734619661984e+00
-1.443110316059745379e+01,2.927389644004448677e+00
-1.423608825302181202e+01,3.039981553389234925e+00
-1.404107334544617203e+01,3.152573462774021618e+00
-1.384605843787053026e+01,3.265165372158807866e+00
-1.365104353029488848e+01,3.377757281543594114e+00
-1.345602862271924849e+01,3.490349190928380807e+00
-1.326101371514360672e+01,3.602941100313167500e+00
-1.306599880756796495e+01,3.715533009697953748e+00
-1.287098389999232495e+01,3.828124919082740441e+00
-1.267596899241668140e+01,3.940716828467526689e+00
-1.248095408484104141e+01,4.053308737852312937e+00
-1.228593917726539964e+01,4.165900647237100074e+00
-1.209092426968975786e+01,4.278492556621886322e+00
-1.189590936211411787e+01,4.391084466006672571e+00
-1.170089445453847610e+01,4.503676375391458819e+00
-1.150587954696283433e+01,4.616268284776245956e+00
-1.131086463938719433e+01,4.728860194161032204e+00
-1.111584973181155256e+01,4.841452103545818453e+00
-1.092083482423591079e+01,4.954044012930605589e+00
-1.072581991666027079e+01,5.066635922315391838e+00
-1.053080500908462902e+01,5.179227831700178086e+00
-1.033579010150898725e+01,5.291819741084964335e+00
-1.014077519393334548e+01,5.404411650469750583e+00
-9.945760286357705482e+00,5.517003559854537720e+00
-9.750745378782063710e+00,5.629595469239323968e+00
-9.555730471206421939e+00,5.742187378624110217e+00
